processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBGC3758-07	EF105341	651907	EF105341	NA	Mined from GenBank, NCBI	NA	NA	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4159	Oncorhynchus	88757	Oncorhynchus keta	NA	NA	NA	NA	Walbaum, 1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMIN119565-17	KT716357	8464463	NA	KT716357	Mined from GenBank, NCBI	NA	BOLD:AAK1753	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71159	Thymallinae	71160	Thymallus	71161	Thymallus arcticus	NA	NA	NA	NA	Pallas, 1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.0733	104.691	Coordinates from country centroid	NA	NA	NA	NA	NA	China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMIN124451-17	KT630729	8478632	NA	KT630729	Mined from GenBank, NCBI	NA	BOLD:AAF0013	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4152	Prosopium	109890	Prosopium coulterii	NA	NA	NA	NA	(Eigenmann & Eigenmann, 1892)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.38	-153.531	NA	NA	NA	NA	NA	NA	United States	NA	Alaska North Slope	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMIN129134-17	KR809767	8486358	NA	KR809767	Mined from GenBank, NCBI	NA	BOLD:AAB3872	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	47318	Salmo trutta	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	lat:3.5|long:78.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5863	81.173	Coordinates from country centroid	NA	NA	NA	NA	NA	India	NA	Uttarakhand, Sangamchatti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMIN130496-17	KU867902	8487720	NA	KU867902	Mined from GenBank, NCBI	NA	BOLD:AAB8463	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71159	Thymallinae	71160	Thymallus	71161	Thymallus arcticus	NA	NA	NA	NA	Pallas, 1776	NA	NA	NA	NA	NA	NA	NA	NA	lat:7.68|long:-152.962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.8208	-96.3316	Coordinates from country centroid	NA	NA	NA	NA	NA	United States	NA	Alaska North Slope	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNB10014-20	MN245093	11564437	KLMMER201806	NA	Mined from GenBank, NCBI	NA	BOLD:AAA1627	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4159	Oncorhynchus	16550	Oncorhynchus mykiss	NA	NA	NA	NA	Walbaum, 1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNB5578-20	MK216626	11560001	KJ005	NA	Mined from GenBank, NCBI	NA	BOLD:AAA3435	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	30453	Salmo salar	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC14219-20	MN756291	12397320	NA	MN756291	Mined from GenBank, NCBI	NA	BOLD:AAA3872	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4159	Oncorhynchus	88757	Oncorhynchus keta	NA	NA	NA	NA	Walbaum, 1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mexico	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC16379-20	MT577333	12399480	73596	MT577333	Mined from GenBank, NCBI	NA	BOLD:AAA4127	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	85583	Salvelinus namaycush	NA	NA	NA	NA	Walbaum, 1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Canada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC16405-20	MT577307	12399506	DKAV 029.006	MT577307	Mined from GenBank, NCBI	NA	BOLD:ABZ0871	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	88751	Salvelinus malma	998741	Salvelinus malma malma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
